sample_ID,extraction_ID,seq_date,alternative_ID,collection_year,collection_month,collection_day,location1,location2,location3,longitude,latitude,sample_type,collected_by,extraction_by,extraction_date
e00289-A,e00289,20240701,2021_SYLB_A_1,2021,6,8,Sylburn harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00289-B,e00289,20240701,2021_SYLB_A_1,2021,6,8,Sylburn harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00289-C,e00289,20240701,2021_SYLB_A_1,2021,6,8,Sylburn harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00290-A,e00290,20240701,2021_SYLB_A_2,2021,6,8,Sylburn harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00290-B,e00290,20240701,2021_SYLB_A_2,2021,6,8,Sylburn harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00290-C,e00290,20240701,2021_SYLB_A_2,2021,6,8,Sylburn harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00291-A,e00291,20240701,2021_SYLB_A_3,2021,6,8,Sylburn harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00291-B,e00291,20240701,2021_SYLB_A_3,2021,6,8,Sylburn harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00291-C,e00291,20240701,2021_SYLB_A_3,2021,6,8,Sylburn harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00292-A,e00292,20240701,2021_SYLB_A_4,2021,6,8,Sylburn harbor eel,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00292-B,e00292,20240701,2021_SYLB_A_4,2021,6,8,Sylburn harbor eel,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00292-C,e00292,20240701,2021_SYLB_A_4,2021,6,8,Sylburn harbor eel,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00293-A,e00293,20240701,2021_SYLB_B_1,2021,6,9,Sylburn harbor kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00293-B,e00293,20240701,2021_SYLB_B_1,2021,6,9,Sylburn harbor kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00293-C,e00293,20240701,2021_SYLB_B_1,2021,6,9,Sylburn harbor kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00294-A,e00294,20240701,2021_SYLB_B_2,2021,6,9,Sylburn harbor kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00294-B,e00294,20240701,2021_SYLB_B_2,2021,6,9,Sylburn harbor kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00294-C,e00294,20240701,2021_SYLB_B_2,2021,6,9,Sylburn harbor kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00295-A,e00295,20240701,2021_SYLB_B_3,2021,6,9,Sylburn harbor kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00295-B,e00295,20240701,2021_SYLB_B_3,2021,6,9,Sylburn harbor kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00295-C,e00295,20240701,2021_SYLB_B_3,2021,6,9,Sylburn harbor kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00296-A,e00296,20240701,2021_SYLB_B_4,2021,6,9,Sylburn harbor kelp,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00296-B,e00296,20240701,2021_SYLB_B_4,2021,6,9,Sylburn harbor kelp,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00296-C,e00296,20240701,2021_SYLB_B_4,2021,6,9,Sylburn harbor kelp,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00297-A,e00297,20240701,2021_REEF_A_1,2021,6,10,Reef harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00297-B,e00297,20240701,2021_REEF_A_1,2021,6,10,Reef harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00297-C,e00297,20240701,2021_REEF_A_1,2021,6,10,Reef harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00298-A,e00298,20240701,2021_REEF_A_2,2021,6,10,Reef harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00298-B,e00298,20240701,2021_REEF_A_2,2021,6,10,Reef harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00298-C,e00298,20240701,2021_REEF_A_2,2021,6,10,Reef harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00299-A,e00299,20240701,2021_REEF_A_3,2021,6,10,Reef harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00299-B,e00299,20240701,2021_REEF_A_3,2021,6,10,Reef harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00299-C,e00299,20240701,2021_REEF_A_3,2021,6,10,Reef harbor eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00300-A,e00300,20240701,2021_REEF_A_4,2021,6,10,Reef harbor eel,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00300-B,e00300,20240701,2021_REEF_A_4,2021,6,10,Reef harbor eel,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00300-C,e00300,20240701,2021_REEF_A_4,2021,6,10,Reef harbor eel,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00301-A,e00301,20240701,2021_REEF_B_1,2021,6,13,Reef harbor kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00301-B,e00301,20240701,2021_REEF_B_1,2021,6,13,Reef harbor kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00301-C,e00301,20240701,2021_REEF_B_1,2021,6,13,Reef harbor kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00302-A,e00302,20240701,2021_REEF_B_2,2021,6,13,Reef harbor kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00302-B,e00302,20240701,2021_REEF_B_2,2021,6,13,Reef harbor kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00302-C,e00302,20240701,2021_REEF_B_2,2021,6,13,Reef harbor kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00303-A,e00303,20240701,2021_REEF_B_3,2021,6,13,Reef harbor kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00303-B,e00303,20240701,2021_REEF_B_3,2021,6,13,Reef harbor kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00303-C,e00303,20240701,2021_REEF_B_3,2021,6,13,Reef harbor kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00304-A,e00304,20240701,2021_REEF_B_4,2021,6,13,Reef harbor kelp,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00304-B,e00304,20240701,2021_REEF_B_4,2021,6,13,Reef harbor kelp,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00304-C,e00304,20240701,2021_REEF_B_4,2021,6,13,Reef harbor kelp,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00305-A,e00305,20240701,2021_KAHS_A_1,2021,6,11,Kah shakes eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00305-B,e00305,20240701,2021_KAHS_A_1,2021,6,11,Kah shakes eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00305-C,e00305,20240701,2021_KAHS_A_1,2021,6,11,Kah shakes eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00306-A,e00306,20240701,2021_KAHS_A_2,2021,6,11,Kah shakes eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00306-B,e00306,20240701,2021_KAHS_A_2,2021,6,11,Kah shakes eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00306-C,e00306,20240701,2021_KAHS_A_2,2021,6,11,Kah shakes eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00307-A,e00307,20240701,2021_KAHS_A_3,2021,6,11,Kah shakes eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00307-B,e00307,20240701,2021_KAHS_A_3,2021,6,11,Kah shakes eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00307-C,e00307,20240701,2021_KAHS_A_3,2021,6,11,Kah shakes eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00308-A,e00308,20240701,2021_KAHS_A_4,2021,6,11,Kah shakes eel,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00308-B,e00308,20240701,2021_KAHS_A_4,2021,6,11,Kah shakes eel,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00308-C,e00308,20240701,2021_KAHS_A_4,2021,6,11,Kah shakes eel,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00309-A,e00309,20240701,2021_KAHS_B_1,2021,6,12,Kah shakes kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00309-B,e00309,20240701,2021_KAHS_B_1,2021,6,12,Kah shakes kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00309-C,e00309,20240701,2021_KAHS_B_1,2021,6,12,Kah shakes kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00310-A,e00310,20240701,2021_KAHS_B_2,2021,6,12,Kah shakes kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00310-B,e00310,20240701,2021_KAHS_B_2,2021,6,12,Kah shakes kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00310-C,e00310,20240701,2021_KAHS_B_2,2021,6,12,Kah shakes kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00311-A,e00311,20240701,2021_KAHS_B_3,2021,6,12,Kah shakes kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00311-B,e00311,20240701,2021_KAHS_B_3,2021,6,12,Kah shakes kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00311-C,e00311,20240701,2021_KAHS_B_3,2021,6,12,Kah shakes kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00312-A,e00312,20240701,extraction_blank,2021,NA,NA,NA,NA,NA,NA,NA,extraction_blank,LKD,LKD,2021_11_18
e00312-B,e00312,20240701,extraction_blank,2021,NA,NA,NA,NA,NA,NA,NA,extraction_blank,LKD,LKD,2021_11_18
e00312-C,e00312,20240701,extraction_blank,2021,NA,NA,NA,NA,NA,NA,NA,extraction_blank,LKD,LKD,2021_11_18
e00313-A,e00313,20240701,2021_KAHS_B_4,2021,6,12,Kah shakes kelp,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00313-B,e00313,20240701,2021_KAHS_B_4,2021,6,12,Kah shakes kelp,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00313-C,e00313,20240701,2021_KAHS_B_4,2021,6,12,Kah shakes kelp,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00314-A,e00314,20240701,2021_DALL_A_1,2021,6,14,Dall bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00314-B,e00314,20240701,2021_DALL_A_1,2021,6,14,Dall bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00314-C,e00314,20240701,2021_DALL_A_1,2021,6,14,Dall bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00315-A,e00315,20240701,2021_DALL_A_2,2021,6,14,Dall bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00315-B,e00315,20240701,2021_DALL_A_2,2021,6,14,Dall bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00315-C,e00315,20240701,2021_DALL_A_2,2021,6,14,Dall bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00316-A,e00316,20240701,2021_DALL_A_3,2021,6,14,Dall bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00316-B,e00316,20240701,2021_DALL_A_3,2021,6,14,Dall bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00316-C,e00316,20240701,2021_DALL_A_3,2021,6,14,Dall bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00317-A,e00317,20240701,2021_DALL_A_4,2021,6,14,Dall bay eel,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00317-B,e00317,20240701,2021_DALL_A_4,2021,6,14,Dall bay eel,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00317-C,e00317,20240701,2021_DALL_A_4,2021,6,14,Dall bay eel,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00318-A,e00318,20240701,2021_DALL_B_1,2021,6,15,Dall bay kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00318-B,e00318,20240701,2021_DALL_B_1,2021,6,15,Dall bay kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00318-C,e00318,20240701,2021_DALL_B_1,2021,6,15,Dall bay kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00319-A,e00319,20240701,2021_DALL_B_2,2021,6,15,Dall bay kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00319-B,e00319,20240701,2021_DALL_B_2,2021,6,15,Dall bay kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00319-C,e00319,20240701,2021_DALL_B_2,2021,6,15,Dall bay kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00320-A,e00320,20240701,2021_DALL_B_3,2021,6,15,Dall bay kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00320-B,e00320,20240701,2021_DALL_B_3,2021,6,15,Dall bay kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00320-C,e00320,20240701,2021_DALL_B_3,2021,6,15,Dall bay kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00321-A,e00321,20240701,2021_DALL_B_4,2021,6,15,Dall bay kelp,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00321-B,e00321,20240701,2021_DALL_B_4,2021,6,15,Dall bay kelp,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00321-C,e00321,20240701,2021_DALL_B_4,2021,6,15,Dall bay kelp,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00322-A,e00322,20240701,2021_MOIR_A_1,2021,6,22,Moira sound eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00322-B,e00322,20240701,2021_MOIR_A_1,2021,6,22,Moira sound eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00322-C,e00322,20240701,2021_MOIR_A_1,2021,6,22,Moira sound eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00323-A,e00323,20240701,2021_MOIR_A_2,2021,6,22,Moira sound eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00323-B,e00323,20240701,2021_MOIR_A_2,2021,6,22,Moira sound eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00323-C,e00323,20240701,2021_MOIR_A_2,2021,6,22,Moira sound eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00324-A,e00324,20240701,2021_MOIR_A_3,2021,6,22,Moira sound eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00324-B,e00324,20240701,2021_MOIR_A_3,2021,6,22,Moira sound eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00324-C,e00324,20240701,2021_MOIR_A_3,2021,6,22,Moira sound eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00325-A,e00325,20240701,2021_MOIR_A_4,2021,6,22,Moira sound eel,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00325-B,e00325,20240701,2021_MOIR_A_4,2021,6,22,Moira sound eel,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00325-C,e00325,20240701,2021_MOIR_A_4,2021,6,22,Moira sound eel,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00326-A,e00326,20240701,2021_MOIR_B_1,2021,6,23,Moira sound kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00326-B,e00326,20240701,2021_MOIR_B_1,2021,6,23,Moira sound kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00326-C,e00326,20240701,2021_MOIR_B_1,2021,6,23,Moira sound kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00327-A,e00327,20240701,2021_MOIR_B_2,2021,6,23,Moira sound kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00327-B,e00327,20240701,2021_MOIR_B_2,2021,6,23,Moira sound kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00327-C,e00327,20240701,2021_MOIR_B_2,2021,6,23,Moira sound kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00328-A,e00328,20240701,2021_MOIR_B_3,2021,6,23,Moira sound kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00328-B,e00328,20240701,2021_MOIR_B_3,2021,6,23,Moira sound kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00328-C,e00328,20240701,2021_MOIR_B_3,2021,6,23,Moira sound kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00329-A,e00329,20240701,2021_MOIR_B_4,2021,6,23,Moira sound kelp,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00329-B,e00329,20240701,2021_MOIR_B_4,2021,6,23,Moira sound kelp,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00329-C,e00329,20240701,2021_MOIR_B_4,2021,6,23,Moira sound kelp,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00330-A,e00330,20240701,2021_NICH_A_1,2021,6,26,Nichols bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00330-B,e00330,20240701,2021_NICH_A_1,2021,6,26,Nichols bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00330-C,e00330,20240701,2021_NICH_A_1,2021,6,26,Nichols bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00331-A,e00331,20240701,2021_NICH_A_2,2021,6,26,Nichols bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00331-B,e00331,20240701,2021_NICH_A_2,2021,6,26,Nichols bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00331-C,e00331,20240701,2021_NICH_A_2,2021,6,26,Nichols bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00332-A,e00332,20240701,2021_NICH_A_3,2021,6,26,Nichols bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00332-B,e00332,20240701,2021_NICH_A_3,2021,6,26,Nichols bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00332-C,e00332,20240701,2021_NICH_A_3,2021,6,26,Nichols bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00333-A,e00333,20240701,2021_NICH_A_4,2021,6,26,Nichols bay eel,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00333-B,e00333,20240701,2021_NICH_A_4,2021,6,26,Nichols bay eel,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00333-C,e00333,20240701,2021_NICH_A_4,2021,6,26,Nichols bay eel,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_18
e00334-A,e00334,20240701,2021_NICH_B_1,2021,6,25,Nichols bay kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00334-B,e00334,20240701,2021_NICH_B_1,2021,6,25,Nichols bay kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00334-C,e00334,20240701,2021_NICH_B_1,2021,6,25,Nichols bay kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00335-A,e00335,20240701,2021_NICH_B_2,2021,6,25,Nichols bay kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00335-B,e00335,20240701,2021_NICH_B_2,2021,6,25,Nichols bay kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00335-C,e00335,20240701,2021_NICH_B_2,2021,6,25,Nichols bay kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_18
e00336-A,e00336,20240701,extraction_blank,2021,NA,NA,NA,NA,NA,NA,NA,extraction_blank,LKD,LKD,2021_11_18
e00336-B,e00336,20240701,extraction_blank,2021,NA,NA,NA,NA,NA,NA,NA,extraction_blank,LKD,LKD,2021_11_18
e00336-C,e00336,20240701,extraction_blank,2021,NA,NA,NA,NA,NA,NA,NA,extraction_blank,LKD,LKD,2021_11_18
e00337-A,e00337,20240701,2021_NICH_B_3,2021,6,25,Nichols bay kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_22
e00337-B,e00337,20240701,2021_NICH_B_3,2021,6,25,Nichols bay kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_22
e00337-C,e00337,20240701,2021_NICH_B_3,2021,6,25,Nichols bay kelp,NA,NA,NA,NA,sample,LKD,LKD,2021_11_22
e00338-A,e00338,20240701,2021_NICH_B_4,2021,6,25,Nichols bay kelp,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_22
e00338-B,e00338,20240701,2021_NICH_B_4,2021,6,25,Nichols bay kelp,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_22
e00338-C,e00338,20240701,2021_NICH_B_4,2021,6,25,Nichols bay kelp,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_22
e00339-A,e00339,20240701,2021_TAHB_A_1,2021,6,27,Tah bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_22
e00339-B,e00339,20240701,2021_TAHB_A_1,2021,6,27,Tah bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_22
e00339-C,e00339,20240701,2021_TAHB_A_1,2021,6,27,Tah bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_22
e00340-A,e00340,20240701,2021_TAHB_A_2,2021,6,27,Tah bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_22
e00340-B,e00340,20240701,2021_TAHB_A_2,2021,6,27,Tah bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_22
e00340-C,e00340,20240701,2021_TAHB_A_2,2021,6,27,Tah bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_22
e00341-A,e00341,20240701,2021_TAHB_A_3,2021,6,27,Tah bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_22
e00341-B,e00341,20240701,2021_TAHB_A_3,2021,6,27,Tah bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_22
e00341-C,e00341,20240701,2021_TAHB_A_3,2021,6,27,Tah bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_22
e00342-A,e00342,20240701,2021_TAHB_A_4,2021,6,27,Tah bay eel,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_22
e00342-B,e00342,20240701,2021_TAHB_A_4,2021,6,27,Tah bay eel,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_22
e00342-C,e00342,20240701,2021_TAHB_A_4,2021,6,27,Tah bay eel,NA,NA,NA,NA,field_blank,LKD,LKD,2021_11_22
e00343-A,e00343,20240701,2021_HUNT_A_1,2021,6,28,Hunter bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_22
e00343-B,e00343,20240701,2021_HUNT_A_1,2021,6,28,Hunter bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_22
e00343-C,e00343,20240701,2021_HUNT_A_1,2021,6,28,Hunter bay eel,NA,NA,NA,NA,sample,LKD,LKD,2021_11_22
