"","species","Mean","SD","q.025","q.05","q.25","q.75","q.95","q.975","calibration","SP"
"1","Oncorhynchus keta",-0.017874718143981,0.00107284687764853,-0.0199580333594955,-0.019578465538653,-0.0185564892854393,-0.0172220984822856,-0.0160885494313137,-0.0156223071482253,"COM2","Oncorhynchus keta"
"2","Oncorhynchus keta",-0.01092436229378,0.0035374288207041,-0.017935523170991,-0.016144423793254,-0.0127227994766457,-0.00907423768811921,-0.00555649682052951,-0.00392334007753962,"COM3","Oncorhynchus keta"
"3","Blepsias cirrhosus",-0.00974582952274663,0.00321765934042886,-0.016718641898792,-0.0142719787528581,-0.010860686841476,-0.0085009337221823,-0.00536247944365122,-0.00309240650392128,"COM9","Blepsias cirrhosus"
"4","Blepsias cirrhosus",-0.00918675826145609,0.00128841025432238,-0.0118600112920863,-0.0111354691717939,-0.00984361905605269,-0.00848179198474097,-0.00726707193302199,-0.00669353628520708,"COM8","Blepsias cirrhosus"
"5","Sebastes 1",-0.00906603507721946,0.00177697599881251,-0.012920418817868,-0.0116689199549169,-0.00983659387425651,-0.00826767676656337,-0.00642753047105009,-0.00554053328026296,"COM10","Sebastes 1"
"6","Hexagrammos",-0.00856345294294051,0.00155704417589898,-0.0115611779864572,-0.0110019007187845,-0.00949661254740264,-0.00764402019008337,-0.00605961401425175,-0.00548718999301639,"COM7","Hexagrammos"
"7","Cymatogaster aggregata",-0.00854073021632946,0.00368970836477794,-0.0163108314965764,-0.0137077418913142,-0.00973543689765277,-0.00718561142616592,-0.00357112453224577,-0.00145921481316343,"COM6","Cymatogaster aggregata"
"8","Oncorhynchus keta",-0.00812254808978289,0.00098087834070246,-0.00999667536503167,-0.00963064514632954,-0.00868850518983566,-0.0075776177854191,-0.0066742247936243,-0.00629381526783179,"COM8","Oncorhynchus keta"
"9","Oncorhynchus kisutch",-0.00705928214262944,0.00689865943937022,-0.0219286701654085,-0.0175264032144665,-0.00980462711594665,-0.00406801873596918,0.00309624525061149,0.00733039751364447,"COM3","Oncorhynchus kisutch"
"10","Blepsias cirrhosus",-0.00688435318958156,0.00404821838121058,-0.0153797738303871,-0.0124702142611841,-0.00828037618144006,-0.00527203401643683,-0.00173669707719809,0.000574473186808754,"COM7","Blepsias cirrhosus"
"11","Blepsias cirrhosus",-0.00665559085276703,0.00130340947815282,-0.0093703599011278,-0.00863746580662468,-0.00728725267619301,-0.00596877913201899,-0.00471867383802747,-0.0040395084930842,"COM5","Blepsias cirrhosus"
"12","Sebastes 2",-0.00661738380758836,0.0019907572700087,-0.0106845884213409,-0.00956028446672303,-0.00748815374086603,-0.00574753339252748,-0.00380853956885609,-0.00259631170462555,"COM10","Sebastes 2"
"13","Syngnathus leptorhynchus",-0.00657561596985445,0.0023490405765628,-0.0111682083556441,-0.00992738300002323,-0.00772705621314163,-0.00538374881860648,-0.00306933714532485,-0.00189928441708898,"COM8","Syngnathus leptorhynchus"
"14","Ammodytes personatus",-0.00646468266397718,0.00273339906535178,-0.0129748915530041,-0.0108973077951769,-0.00758711509434717,-0.00535910499767212,-0.00205564094747379,-0.000222201377230497,"COM9","Ammodytes personatus"
"15","Hexagrammos",-0.00646291526491706,0.00121471759950385,-0.00890676310554834,-0.00842381341303842,-0.00712628428896223,-0.00579357464423869,-0.00461886701371419,-0.0040380125154652,"COM9","Hexagrammos"
"16","Blepsias cirrhosus",-0.00610701641760383,0.00187556632230652,-0.0101612238033906,-0.0089075250647515,-0.00691747751736438,-0.00534635248088733,-0.00322446088745456,-0.00172071265486375,"COM1","Blepsias cirrhosus"
"17","Oncorhynchus gorbuscha",-0.006006339558021,0.002111619839744,-0.0107084017475626,-0.00952473400859053,-0.00703957490536578,-0.00496027170156399,-0.00280730285191617,-0.00179366066551423,"COM2","Oncorhynchus gorbuscha"
"18","Blepsias cirrhosus",-0.00587992816239215,0.00143230459574147,-0.0087023447173879,-0.00811739611380258,-0.00671914491741021,-0.00509207764270825,-0.00358301875836427,-0.00286967899816758,"COM12","Blepsias cirrhosus"
"19","zRefSpecies_Ammodytes personatus",-0.00573683354631681,0.00102359765251092,-0.00777409501288606,-0.00735705657371184,-0.0063688091842562,-0.00513812599394781,-0.00404272621654092,-0.00357317575039459,"COM2","Ammodytes personatus"
"20","zRefSpecies_Ammodytes personatus",-0.00481185561371388,0.000839099336771495,-0.0064252691001633,-0.00609920879132551,-0.00536635628574833,-0.00428874429604176,-0.00346121745452777,-0.00313974197766987,"COM12","Ammodytes personatus"
"21","Syngnathus leptorhynchus",-0.00477062761192874,0.00136749186338881,-0.00735781711501301,-0.0069060948168542,-0.00560598652601629,-0.00395388265321672,-0.00246012623542324,-0.00188955293512667,"COM7","Syngnathus leptorhynchus"
"22","Sebastes 2",-0.00466971785818098,0.00149473764818914,-0.00768306600987223,-0.00699078205909924,-0.00549421481555068,-0.00383568672771517,-0.0023667943710366,-0.00172000595717705,"COM13","Sebastes 2"
"23","zRefSpecies_Ammodytes personatus",-0.00443198447579605,0.00104079396301403,-0.00656316405837292,-0.00613372849840477,-0.00507009476864695,-0.00380498687054465,-0.00280920531326789,-0.00239235958136977,"COM11","Ammodytes personatus"
"24","Clupea pallasii",-0.00442874487293425,0.00305489775613406,-0.0103386367648001,-0.00905451112525315,-0.00607815564689718,-0.0027272780581209,0.000183261612176386,0.0015669256854094,"COM3","Clupea pallasii"
"25","Oncorhynchus keta",-0.00393716804811181,0.000829672042670233,-0.00557670880172934,-0.00529240641444249,-0.00445036437238422,-0.00343420663342353,-0.0025784877954824,-0.00227815594133072,"COM1","Oncorhynchus keta"
"26","Lumpenus sagitta",-0.00367149847569669,0.00175137533781367,-0.00707583245297829,-0.00643659896145543,-0.00467081709418571,-0.00270263455690545,-0.000818685794034546,-0.000125181800869401,"COM11","Lumpenus sagitta"
"27","Oncorhynchus kisutch",-0.00347463507024187,0.00278249472039827,-0.00946978864088697,-0.00799841118208586,-0.00491229067444865,-0.00191152481376466,0.000754255910671619,0.00186186805522967,"COM13","Oncorhynchus kisutch"
"28","Blepsias cirrhosus",-0.00346501631765447,0.00283746996940146,-0.0092271635297832,-0.00792928206952659,-0.00500733763923433,-0.0019644741268996,0.000874761608680828,0.00223776739332378,"COM13","Blepsias cirrhosus"
"29","Syngnathus leptorhynchus",-0.00338198781581461,0.0026784237400692,-0.00920039577638032,-0.00736076323582644,-0.00453881790487476,-0.00203034633956178,0.000334608821497248,0.00159700332619167,"COM11","Syngnathus leptorhynchus"
"30","Hexagrammos",-0.00329614914733408,0.00209256215252702,-0.00773514540304502,-0.00626052339963478,-0.00411856487682194,-0.00243402879141763,-0.000304093076881907,0.00111235062651084,"COM10","Hexagrammos"
"31","Leptocottus armatus",-0.00328038735937633,0.00179171998923884,-0.00701387144105925,-0.00607128728121327,-0.00418693877351106,-0.00238065138043908,-0.000382607828896453,0.000540745043277995,"COM6","Leptocottus armatus"
"32","Lumpenus sagitta",-0.00285966275098448,0.00318402747622462,-0.00982005206958858,-0.00779299188079494,-0.00426327462736009,-0.0016122838323761,0.00237401656732215,0.00457356244585454,"COM1","Lumpenus sagitta"
"33","Lumpenus sagitta",-0.00283393120454232,0.00317372418120645,-0.00893257326716824,-0.00743379716824533,-0.004431447308341,-0.00117329038020497,0.00182341266896597,0.00331141670908228,"COM7","Lumpenus sagitta"
"34","Sebastes 2",-0.00280757240182142,0.000903708887160438,-0.0046373158178696,-0.00415940115398239,-0.00325196859266697,-0.00234200626639158,-0.00148238624270376,-0.000979671841548403,"COM5","Sebastes 2"
"35","Leptocottus armatus",-0.00280453328935353,0.0013591626955455,-0.00560575216579189,-0.00493282679060205,-0.00346528104482946,-0.00211504136429619,-0.00079781142933888,-0.000235826399448492,"COM5","Leptocottus armatus"
"36","Ammodytes personatus",-0.00275187224211895,0.00274926831028922,-0.00898606245123241,-0.00680733614616158,-0.00381642890058287,-0.00153983041579231,0.0010692333619388,0.00240917773816549,"COM7","Ammodytes personatus"
"37","Hexagrammos",-0.00271007872504873,0.00147440758092868,-0.00544251387680041,-0.00481698365700156,-0.00342707642133766,-0.00198040343937489,-0.000593106297242076,-2.26732932314913e-05,"COM8","Hexagrammos"
"38","Lumpenus sagitta",-0.00265287916587685,0.00169330368804597,-0.00606188328316529,-0.00521936522221929,-0.00352155422817191,-0.00183265388036558,2.62204124323865e-05,0.000808267931882687,"COM5","Lumpenus sagitta"
"39","Pholis laeta",-0.00263131755515909,0.00259519393518395,-0.00780380447463533,-0.00660750146710476,-0.00400836931313686,-0.00130957332006321,0.00133443505247721,0.00260150299075439,"COM7","Pholis laeta"
"40","Hexagrammos",-0.00260324010716764,0.00120929182627634,-0.00508476802356287,-0.00444353371642359,-0.00322592129921595,-0.00195676435032699,-0.00073550670478815,-0.000183773534499143,"COM5","Hexagrammos"
"41","zRefSpecies_Ammodytes personatus",-0.0025918684282369,0.000681517251588113,-0.00396678113886546,-0.00372784023754651,-0.00302811757484345,-0.00215363102371968,-0.00148236499953995,-0.00119732266703591,"COM8","Ammodytes personatus"
"42","Sebastes 1",-0.00251454527972971,0.00371996279693572,-0.00983343806237633,-0.00675234448871163,-0.00345476556480961,-0.00152855197779866,0.00221018640802596,0.00469027507411585,"COM5","Sebastes 1"
"43","Lumpenus sagitta",-0.00247432749546549,0.00167409253580449,-0.00576702978111738,-0.00502870352789262,-0.00333023196672033,-0.00162111947495081,0.000147423635974263,0.000938526014066521,"COM8","Lumpenus sagitta"
"44","Lumpenus sagitta",-0.00237666166150096,0.00515173243924421,-0.0131418413074417,-0.00935723698099797,-0.00383029403947854,-0.000470483031806079,0.00405259616145114,0.00647065611680385,"COM6","Lumpenus sagitta"
"45","Hexagrammos",-0.00233299310360726,0.00361359821430264,-0.00801921133795969,-0.00624735148753322,-0.00346340150194024,-0.00129461610024473,0.00153597598640069,0.00320083454811698,"COM6","Hexagrammos"
"46","Leptocottus armatus",-0.00195362540290377,0.00210721910251328,-0.00606303421442331,-0.00507417497799891,-0.00302084792956969,-0.000878921227994822,0.00142805264752597,0.00257200948848565,"COM1","Leptocottus armatus"
"47","Sebastes 1",-0.00180644014733894,0.0017732767239477,-0.005227157495658,-0.00445617160643024,-0.00277900159138489,-0.000878514228379035,0.000856103293207954,0.00171618501602212,"COM12","Sebastes 1"
"48","Hexagrammos",-0.00140468733337769,0.00157972883402267,-0.00460086051890837,-0.00390916292270207,-0.00226148981536267,-0.000526247177639494,0.00105112986695259,0.00176564020411369,"COM11","Hexagrammos"
"49","Hexagrammos",-0.00127937966891065,0.00134428412305166,-0.00391110263837507,-0.00330921637525277,-0.00197259817805351,-0.000544497543550237,0.000692365141459005,0.00129323428904762,"COM12","Hexagrammos"
"50","zRefSpecies_Ammodytes personatus",-0.0010944202400963,0.000752489387421359,-0.00259226766299886,-0.00232820666531623,-0.00156267244224439,-0.000615525458856014,0.000120690290329062,0.00037856023656182,"COM1","Ammodytes personatus"
"51","Syngnathus leptorhynchus",-0.00104637680522142,0.00249989171972237,-0.00631155744836523,-0.00508249071414506,-0.00228058293330935,0.000285020726389029,0.00269859046398546,0.00393499122674326,"COM9","Syngnathus leptorhynchus"
"52","Gasterosteus aculeatus",-0.00103262492957294,0.00593859368565555,-0.0136535858878912,-0.00986987323827144,-0.00326619967229858,0.00117812410928952,0.00741055745890465,0.0112132676236034,"COM13","Gasterosteus aculeatus"
"53","Hexagrammos",-0.000810747153477533,0.00191642051534949,-0.00506849639247304,-0.00363890894176777,-0.00163510847136283,-0.000101132057923725,0.00252360624789896,0.00433200230670808,"COM1","Hexagrammos"
"54","Pholis laeta",-0.000694346227852609,0.00155669567493254,-0.00366698233000732,-0.00305629596885988,-0.00157094692833215,0.000133856732994153,0.00170975375406575,0.00249938241175628,"COM12","Pholis laeta"
"55","Oncorhynchus gorbuscha",5.34769953612273e-06,0.00317041750019222,-0.00611906601977121,-0.00459996252457275,-0.00162115986032529,0.00161955731773178,0.00465549174697097,0.00582026129185255,"COM3","Oncorhynchus gorbuscha"
"56","Sebastes 1",3.37551596535752e-05,0.00472508617075936,-0.0103991847620319,-0.00640220649737817,-0.00146574574199665,0.0018128118180214,0.00607411292165707,0.00866060636945551,"COM13","Sebastes 1"
"57","Syngnathus leptorhynchus",6.77168021588378e-05,0.00142217640685255,-0.00257643650886495,-0.00197019668361895,-0.00070733543595658,0.000793324569359877,0.00227534636053917,0.00291995382256347,"COM6","Syngnathus leptorhynchus"
"58","Oncorhynchus gorbuscha",0.000100938070471488,0.00439886545881808,-0.00976237404681894,-0.00657416348614308,-0.00148417454724048,0.00186446416132824,0.00636977011629076,0.00918982552091218,"COM11","Oncorhynchus gorbuscha"
"59","Pholis laeta",0.000214133914102759,0.00149400045735746,-0.00275860908391192,-0.00206653011929867,-0.000594573401132004,0.000981067721113171,0.00253991125671686,0.00333325545174603,"COM8","Pholis laeta"
"60","Clupea pallasii",0.000236359951412874,0.00240950590176468,-0.00541127830229263,-0.00333990240399709,-0.000569064784712081,0.00109788835100477,0.00377312405248575,0.00533911930999532,"COM8","Clupea pallasii"
"61","Sebastes 1",0.0003926970404976,0.00307035822347781,-0.00678158491986922,-0.00454452562497145,-0.000783673176593114,0.00164612975532519,0.00500643029624416,0.00710894103409521,"COM8","Sebastes 1"
"62","Pholis laeta",0.0005431009342302,0.00174150494275256,-0.00304364726834174,-0.00218529839198178,-0.000401206081776184,0.00149685642997432,0.00321006939262451,0.00392941049242077,"COM9","Pholis laeta"
"63","Syngnathus leptorhynchus",0.000581459566175554,0.00155453296528421,-0.00234950418925612,-0.0016472616045043,-0.000205148194975191,0.00134077499074337,0.00295352229418611,0.00375442255694273,"COM12","Syngnathus leptorhynchus"
"64","Oncorhynchus kisutch",0.000755593466496119,0.00260430368209763,-0.00538581951152181,-0.00359905300037131,-0.00025517671779951,0.0018849642054235,0.00477489324934302,0.00637332034741557,"COM1","Oncorhynchus kisutch"
"65","Lumpenus sagitta",0.000768373924519058,0.00633991020360615,-0.0131593313052307,-0.00847312528235333,-0.00166186811601621,0.00338061658809252,0.00985563580593051,0.0134435588085912,"COM3","Lumpenus sagitta"
"66","Ophiodon elongatus",0.000976258335795722,0.00257372556424193,-0.00488601270839818,-0.00323467862442837,-0.000227321115679358,0.00220669487159753,0.00519606402208077,0.00667612648330365,"COM9","Ophiodon elongatus"
"67","Ophiodon elongatus",0.0010300109364622,0.00327967808021403,-0.00643489993957473,-0.00441320756842922,-0.000566330973975182,0.0026496606373716,0.00611769276152611,0.007999862556819,"COM7","Ophiodon elongatus"
"68","Leptocottus armatus",0.00107829975935496,0.00210447790535452,-0.0030135835474745,-0.00207717307101403,-6.99159768849933e-05,0.00219299006904128,0.00422741853992492,0.00531744062266354,"COM2","Leptocottus armatus"
"69","Cymatogaster aggregata",0.00147955574819786,0.00133540832699351,-0.00135475919076276,-0.000657781856939565,0.000830278594131206,0.00215574483689829,0.00342633690308964,0.00412631137308629,"COM5","Cymatogaster aggregata"
"70","Oncorhynchus gorbuscha",0.0016625292676655,0.00361595762741904,-0.00486251227605533,-0.00303425072652004,0.000241784847319182,0.00333148671017192,0.00631711456229795,0.00792459785587121,"COM12","Oncorhynchus gorbuscha"
"71","Leptocottus armatus",0.00179982199543152,0.00218099153922673,-0.00229015350923965,-0.00140814071138713,0.000634856406278139,0.00284887808385381,0.00502763347311765,0.00640781366859766,"COM11","Leptocottus armatus"
"72","Sebastes 3",0.00182981895125315,0.00100594966805332,-0.000251668089544305,0.000168336873234709,0.00124828671377653,0.00241900094874081,0.00351022749870755,0.00389164694518588,"COM10","Sebastes 3"
"73","Sebastes 2",0.00210863709249912,0.00432759128073467,-0.00763542661181924,-0.00499033639776687,0.000375136660640707,0.00414325440996099,0.00848081021367605,0.0106452096156401,"COM2","Sebastes 2"
"74","Pholis laeta",0.00242782317735055,0.00535491160694745,-0.00817243041206205,-0.00484678875223559,0.000717182024612462,0.00444607038020517,0.00959094730849224,0.0121571629906794,"COM6","Pholis laeta"
"75","Leptocottus armatus",0.00248549902728198,0.00322745651813782,-0.0037880251595262,-0.00226283565192966,0.000832349605901062,0.00414757766119533,0.00725372105640911,0.00863832211405364,"COM3","Leptocottus armatus"
"76","Sebastes 1",0.00256611947854388,0.00228122744644208,-0.00196545895531181,-0.000814978947661271,0.00154283679272893,0.00345950380907523,0.0061885974449004,0.00789073021601775,"COM9","Sebastes 1"
"77","Pholis laeta",0.00294531483795608,0.0023978487047018,-0.00232239984516285,-0.000834268945553851,0.00196015494000923,0.00398638877063384,0.00673074363138122,0.00830240162684125,"COM1","Pholis laeta"
"78","Syngnathus leptorhynchus",0.00300764589667221,0.00246231779092607,-0.00275275649803182,-0.0007932808008978,0.00205380771925778,0.00402595104188908,0.00668056658616636,0.00822945638985083,"COM1","Syngnathus leptorhynchus"
"79","Oncorhynchus gorbuscha",0.00301586669194407,0.00238692205310348,-0.00292656197380302,-0.00115154835634235,0.00207802661889722,0.0040932891120391,0.0066292663118642,0.0080258644484145,"COM8","Oncorhynchus gorbuscha"
"80","Syngnathus leptorhynchus",0.00312310787573204,0.00154781962778825,8.30307256774465e-05,0.000693830450454214,0.00219224796480466,0.00400638832713551,0.00567900698361099,0.00634880809737151,"COM3","Syngnathus leptorhynchus"
"81","Sebastes 1",0.00319626507356643,0.00644025453038357,-0.010838752068501,-0.00633538720690498,0.000818786799846705,0.00574880623316021,0.0124761038083727,0.0164320850670963,"COM3","Sebastes 1"
"82","zRefSpecies_Cymatogaster aggregata",0.00338464646902112,0.000856468220912343,0.00169331585305402,0.00199826456996215,0.00285452154721011,0.00389353655971858,0.00481807924970572,0.00517766482647878,"COM9","Cymatogaster aggregata"
"83","Ophiodon elongatus",0.00360281605302408,0.0034466971465379,-0.00416518620699272,-0.00180971058442629,0.00226163699010795,0.00492325064620991,0.00915427882919341,0.0116385963061658,"COM8","Ophiodon elongatus"
"84","Hexagrammos",0.00373894350122424,0.00184190518890699,-4.96562570336922e-05,0.00093292404350831,0.00276863050397724,0.0047583165365811,0.00657978076155914,0.00739660985738667,"COM13","Hexagrammos"
"85","Clupea pallasii",0.00385222791397437,0.00392380962474516,-0.00518666178133072,-0.00243807766467166,0.00211867986987535,0.00571578903162973,0.0102363770287097,0.0120569156686502,"COM2","Clupea pallasii"
"86","Pleuronectidae 1",0.00399279975016234,0.00461279456083626,-0.00296104271636198,-0.000844609256281403,0.00244511285991711,0.00507709828688174,0.00901018936983897,0.0116983131304566,"COM13","Pleuronectidae 1"
"87","Ophiodon elongatus",0.00415621063210299,0.00416224795622612,-0.00360486552606453,-0.000966407478835341,0.00286833022964128,0.00526862479601087,0.0096969222883613,0.0128106221440126,"COM5","Ophiodon elongatus"
"88","Pleuronectidae 1",0.00419925086055326,0.00358774614077905,-0.00248963280269079,-0.00101098086346603,0.00236110905680897,0.00605066612162963,0.00945175513235012,0.0108810936650265,"COM3","Pleuronectidae 1"
"89","Hexagrammos",0.00428771626210324,0.00770920478632627,-0.0116509490700203,-0.00650259096926009,0.00140780437869237,0.00735198481343025,0.0149610964112152,0.0192708905997408,"COM3","Hexagrammos"
"90","Gadus",0.00430089174962274,0.00332980451767336,-0.00406326810098778,-0.00140757086018126,0.00304705902356772,0.00569275967476879,0.00931082063348351,0.0114660810182846,"COM8","Gadus"
"91","Lepidopsetta",0.00434682858605151,0.00361245707619235,-0.00263675180419797,-0.00125147509945418,0.00239190602445361,0.00624799284851829,0.00984885167912133,0.0118716583456792,"COM3","Lepidopsetta"
"92","Cymatogaster aggregata",0.00437627337626921,0.00116489334491413,0.00210633957733819,0.00254520942041248,0.00369742989186006,0.00504415382603451,0.00625279342735958,0.00680040126956483,"COM11","Cymatogaster aggregata"
"93","Lepidopsetta",0.0045211292834822,0.00227340855187557,0.000108281116354592,0.00109017140748733,0.00329392424556807,0.00566253256176397,0.00818334419955828,0.00932155592875482,"COM6","Lepidopsetta"
"94","Cymatogaster aggregata",0.00463343810615947,0.00136044681157404,0.00195602230112391,0.0026031035043405,0.00389270755016147,0.00535878429074976,0.00666819995716883,0.00738847541796532,"COM8","Cymatogaster aggregata"
"95","Cymatogaster aggregata",0.0048764957646101,0.00185770660211536,0.00111476772812081,0.00205280893752937,0.00393670485303421,0.00584975678761646,0.00769754830121914,0.00855120976665722,"COM13","Cymatogaster aggregata"
"96","Ophiodon elongatus",0.00493866662313141,0.00340147996519024,-0.00297496117775877,-0.000680014090200642,0.00356141632047058,0.00633656161201018,0.0104028539335862,0.012832304151211,"COM10","Ophiodon elongatus"
"97","Pleuronectidae 1",0.00508845449053271,0.00231877407698392,0.000147816310787585,0.00170195954644767,0.00412867609250889,0.00608017157097374,0.0084840632846992,0.00997332635325006,"COM2","Pleuronectidae 1"
"98","Lepidopsetta",0.00526219999847079,0.00227309628387519,-0.000124157713662742,0.00197121995507117,0.00456589282015318,0.00614664659331488,0.00820572449712564,0.00959671290471861,"COM8","Lepidopsetta"
"99","Gasterosteus aculeatus",0.00529372761998179,0.00288993755450327,-0.00110458249514946,0.000832759326087685,0.00431793737331854,0.00627034034697627,0.00952675918237893,0.0116721690313671,"COM12","Gasterosteus aculeatus"
"100","Sebastes 1",0.00570607649006713,0.00483584771733991,-0.00551824941001018,-0.00161384770122086,0.00407037100529217,0.00764691652968419,0.0124745846784937,0.0154654041601002,"COM7","Sebastes 1"
"101","Oncorhynchus kisutch",0.00571496467291421,0.00185313470257988,0.00190263899687093,0.00280328946174775,0.0048687210036793,0.00667408134443515,0.00827611590877224,0.00901270017648604,"COM5","Oncorhynchus kisutch"
"102","Gadus",0.0059147553534614,0.00382551924295208,-0.00250464042993295,-0.000313198009469994,0.00420386764501068,0.0076139808812104,0.0120230936345536,0.0147923770758646,"COM10","Gadus"
"103","Lepidopsetta",0.00612363419963803,0.00335670755399764,-0.00171910550473356,0.000719399283845457,0.00483098251261649,0.00761114539497021,0.0110875494426536,0.0129072739746815,"COM2","Lepidopsetta"
"104","Lepidopsetta",0.00629632710429591,0.00230398312893538,0.00107111887421421,0.00263612538611622,0.00531964736017526,0.00732149691232553,0.00973222101801204,0.0111826753758539,"COM10","Lepidopsetta"
"105","Gadus",0.00660344480423674,0.0031375954599186,-0.000652730822571656,0.00161656923226949,0.00536743937227002,0.0078989099606902,0.0114708570398323,0.0139513854560335,"COM9","Gadus"
"106","Gasterosteus aculeatus",0.00661312465851284,0.0022826977814214,0.000898117934793152,0.00291023352999802,0.00581496313910723,0.00766177622951592,0.0098787556491006,0.0110043383347875,"COM11","Gasterosteus aculeatus"
"107","Ophiodon elongatus",0.00693423336638543,0.00207899318000539,0.00283426434502755,0.00385833897505798,0.00579551179745053,0.00800366330210778,0.0100564159079892,0.0111829641020444,"COM12","Ophiodon elongatus"
"108","Gadus",0.00733216279931032,0.00363368674996514,-0.000733261502598357,0.00170359069379029,0.0058985505505047,0.00880101576827219,0.012767943929797,0.0150721145312864,"COM7","Gadus"
"109","Pleuronectidae 1",0.00868763004350111,0.0048434641288062,-0.000246445584475296,0.00272016013991383,0.00714210630799539,0.00998118524630009,0.0149036764972628,0.0179602136782428,"COM5","Pleuronectidae 1"
"110","Pleuronectidae 1",0.00951410307782244,0.00287208092952316,0.00378013990710012,0.00510276329308665,0.00799771870482924,0.0110384787606921,0.014013488331037,0.0155520852076838,"COM6","Pleuronectidae 1"
"111","Oncorhynchus gorbuscha",0.00964623423503461,0.00398610582182484,0.000263721610320833,0.0033764588528646,0.008316939299714,0.011188044852847,0.0152957502035131,0.0176800528873377,"COM9","Oncorhynchus gorbuscha"
"112","Sebastes 3",0.0100027934646102,0.00329246155702815,0.00249779970560314,0.0049818420324572,0.00892763402631602,0.0111258551080791,0.0144256800883518,0.0170116054234984,"COM8","Sebastes 3"
"113","Cymatogaster aggregata",0.0100540858120533,0.00182041203802634,0.00589924519049907,0.0071675021272027,0.00932611184883703,0.0108410120769531,0.0126780459452597,0.0138332751401791,"COM1","Cymatogaster aggregata"
"114","Sebastes 3",0.0113666377923197,0.00397164838556994,0.00274870297627233,0.00533231795577227,0.00972583124905735,0.0129665479991515,0.0178596149721657,0.0200825667259008,"COM2","Sebastes 3"
"115","Oncorhynchus gorbuscha",0.0143673045204316,0.00671779059935561,0.000305747837564463,0.00445829509821547,0.0116684838948216,0.0172208735065021,0.0234170834526524,0.0271543282504279,"COM7","Oncorhynchus gorbuscha"
